sequence,seq_type,method,pair,baseline_idx,ratio,num_matches,num_correct,num_ground_truth
i_books,illumination,sift,1_6,6,0.95,768,446,552
i_books,illumination,sift,1_6,6,0.99,925,451,552
i_books,illumination,orb,1_2,2,0.5,569,566,1553
i_books,illumination,orb,1_2,2,0.55,667,663,1553
i_books,illumination,orb,1_2,2,0.6,741,733,1553
i_books,illumination,orb,1_2,2,0.65,819,804,1553
i_books,illumination,orb,1_2,2,0.7,877,854,1553
i_books,illumination,orb,1_2,2,0.75,946,913,1553
i_books,illumination,orb,1_2,2,0.8,1035,964,1553
i_books,illumination,orb,1_2,2,0.85,1148,1020,1553
i_books,illumination,orb,1_2,2,0.9,1296,1073,1553
i_books,illumination,orb,1_2,2,0.95,1526,1127,1553
i_books,illumination,orb,1_2,2,0.99,1860,1165,1553
i_books,illumination,orb,1_3,3,0.5,276,276,1289
i_books,illumination,orb,1_3,3,0.55,314,311,1289
i_books,illumination,orb,1_3,3,0.6,349,340,1289
i_books,illumination,orb,1_3,3,0.65,391,372,1289
i_books,illumination,orb,1_3,3,0.7,427,401,1289
i_books,illumination,orb,1_3,3,0.75,499,448,1289
i_books,illumination,orb,1_3,3,0.8,566,476,1289
i_books,illumination,orb,1_3,3,0.85,707,521,1289
i_books,illumination,orb,1_3,3,0.9,929,558,1289
i_books,illumination,orb,1_3,3,0.95,1313,617,1289
i_books,illumination,orb,1_3,3,0.99,1822,651,1289
i_books,illumination,orb,1_4,4,0.5,436,435,1420
i_books,illumination,orb,1_4,4,0.55,473,469,1420
i_books,illumination,orb,1_4,4,0.6,507,497,1420
i_books,illumination,orb,1_4,4,0.65,548,532,1420
i_books,illumination,orb,1_4,4,0.7,602,567,1420
i_books,illumination,orb,1_4,4,0.75,661,609,1420
i_books,illumination,orb,1_4,4,0.8,748,658,1420
i_books,illumination,orb,1_4,4,0.85,876,717,1420
i_books,illumination,orb,1_4,4,0.9,1015,755,1420
i_books,illumination,orb,1_4,4,0.95,1380,807,1420
i_books,illumination,orb,1_4,4,0.99,1835,861,1420
i_books,illumination,orb,1_5,5,0.5,543,540,1597
i_books,illumination,orb,1_5,5,0.55,606,600,1597
i_books,illumination,orb,1_5,5,0.6,656,650,1597
i_books,illumination,orb,1_5,5,0.65,707,694,1597
i_books,illumination,orb,1_5,5,0.7,791,767,1597
i_books,illumination,orb,1_5,5,0.75,856,809,1597
i_books,illumination,orb,1_5,5,0.8,944,865,1597
i_books,illumination,orb,1_5,5,0.85,1072,932,1597
