sequence,seq_type,method,pair,baseline_idx,num_kp1,num_kp2,num_matches,time_sec,correct_at_1px,num_ground_truth_at_1px,precision_at_1px,recall_at_1px,correct_at_2px,num_ground_truth_at_2px,precision_at_2px,recall_at_2px,correct_at_3px,num_ground_truth_at_3px,precision_at_3px,recall_at_3px,correct_at_5px,num_ground_truth_at_5px,precision_at_5px,recall_at_5px,correct_at_10px,num_ground_truth_at_10px,precision_at_10px,recall_at_10px
v_apprentices,viewpoint,sift,1_2,2,10023,9097,4754,3.6626708030700685,4151,5402,0.8731594446781658,0.7684191040355424,4442,6068,0.9343710559528818,0.7320369149637442,4475,6564,0.9413125788809423,0.6817489335770871,4485,8294,0.9434160706773244,0.5407523510971787,4495,9546,0.9455195624737064,0.47087785459878484
v_apprentices,viewpoint,sift,1_3,3,10023,9396,3177,3.6626708030700685,2049,3606,0.6449480642115203,0.5682196339434277,2786,5152,0.8769279194208373,0.5407608695652174,2895,5891,0.9112370160528801,0.4914276014259039,2923,7591,0.9200503619767075,0.38506125675141617,2946,9069,0.927289896128423,0.32484287131988093
v_apprentices,viewpoint,sift,1_4,4,10023,6596,1238,3.6626708030700685,561,2143,0.4531502423263328,0.26178254783014465,913,3690,0.7374798061389337,0.24742547425474254,996,4706,0.8045234248788369,0.21164470888227793,1027,6875,0.8295638126009693,0.14938181818181817,1044,8915,0.8432956381260097,0.117106001121705
v_apprentices,viewpoint,sift,1_5,5,10023,6511,689,3.6626708030700685,245,1630,0.3555878084179971,0.15030674846625766,403,3450,0.5849056603773585,0.11681159420289855,450,4880,0.6531204644412192,0.09221311475409837,466,7263,0.6763425253991292,0.06416081509018312,485,9069,0.7039187227866474,0.0534788841107068
v_apprentices,viewpoint,sift,1_6,6,10023,5504,896,3.6626708030700685,374,1686,0.4174107142857143,0.22182680901542112,617,3456,0.6886160714285714,0.1785300925925926,661,5025,0.7377232142857143,0.13154228855721392,676,7605,0.7544642857142857,0.08888888888888889,686,9349,0.765625,0.07337683174671088
v_apprentices,viewpoint,orb,1_2,2,2000,2000,838,0.3388839244842529,464,1134,0.5536992840095465,0.4091710758377425,711,1564,0.8484486873508353,0.45460358056265987,779,1677,0.9295942720763724,0.46451997614788315,801,1784,0.9558472553699284,0.4489910313901345,804,1883,0.9594272076372315,0.4269782262347318
v_apprentices,viewpoint,orb,1_3,3,2000,2000,435,0.3388839244842529,188,825,0.432183908045977,0.22787878787878788,338,1239,0.7770114942528735,0.27280064568200163,388,1374,0.8919540229885058,0.2823871906841339,406,1483,0.9333333333333333,0.2737693863789616,407,1590,0.9356321839080459,0.2559748427672956
v_apprentices,viewpoint,orb,1_4,4,2000,2000,172,0.3388839244842529,51,781,0.29651162790697677,0.06530089628681178,122,1254,0.7093023255813954,0.09728867623604466,138,1414,0.8023255813953488,0.09759547383309759,147,1580,0.8546511627906976,0.0930379746835443,150,1725,0.872093023255814,0.08695652173913043
v_apprentices,viewpoint,orb,1_5,5,2000,2000,58,0.3388839244842529,12,619,0.20689655172413793,0.01938610662358643,30,1045,0.5172413793103449,0.028708133971291867,34,1185,0.5862068965517241,0.02869198312236287,37,1346,0.6379310344827587,0.0274888558692422,38,1506,0.6551724137931034,0.025232403718459494
v_apprentices,viewpoint,orb,1_6,6,2000,2000,80,0.3388839244842529,22,607,0.275,0.036243822075782535,54,1020,0.675,0.052941176470588235,63,1142,0.7875,0.05516637478108581,66,1323,0.825,0.049886621315192746,66,1515,0.825,0.04356435643564356
